gene_name,module_1,module_2,module_3,module_4
ACP1,False,False,True,False
ACTA1,False,False,False,True
ACTB,False,False,True,False
ACTC1,False,False,False,True
ACTN2,False,False,False,True
ACTN3,False,False,False,True
ACVR1B,True,False,False,False
ACVR2B,True,False,False,False
ADIPOQ,False,False,True,False
AFDN,True,False,False,False
AGRN,False,False,False,True
AKAP4,False,True,False,False
AKT1,False,False,True,False
ALB,False,False,True,False
ANKRD1,False,False,False,True
ANKRD2,False,False,False,True
ANXA11,False,False,True,False
AR,False,True,False,False
ASCL3,False,False,False,True
ASH2L,False,True,False,False
ATF3,False,True,False,False
ATP2A1,False,False,False,True
BANF1,False,True,False,False
BCL2,False,True,False,False
BGLAP,True,False,False,False
BHLHA15,False,False,False,True
BHLHE40,False,True,False,False
BHLHE41,False,True,False,False
BMAL1,False,False,True,False
BMP2,True,False,False,False
BMP4,True,False,False,False
BMP7,True,False,False,False
BRD2,False,True,False,False
BRD3,False,True,False,False
BRD4,False,True,False,False
BTG2,False,True,False,False
CACNA1S,False,False,False,True
CACNG1,False,False,False,True
CALCR,False,False,True,False
CALD1,False,False,True,False
CALM3,False,False,False,True
CAPN3,False,False,False,True
CARM1,False,True,False,False
CASP3,False,False,True,False
CASQ1,False,False,False,True
CAV1,False,False,True,False
CAV3,False,False,False,True
CBFB,False,True,False,False
CBX1,False,True,False,False
CCNA1,False,True,False,False
CCNA2,False,True,False,False
CCNB1,False,True,False,False
CCND1,False,True,False,False
CCNE1,False,True,False,False
CCNL2,False,True,False,False
CCNT1,False,True,False,False
CD34,True,False,False,False
CD68,False,False,True,False
CD99,False,False,True,False
CD99L2,True,False,False,False
CDH1,True,False,False,False
CDH15,False,False,False,True
CDH17,True,False,False,False
CDH2,True,False,False,False
CDK1,False,True,False,False
CDK2,False,True,False,False
CDK4,False,True,False,False
CDK9,False,True,False,False
CDKN1A,False,True,False,False
CDKN1C,False,True,False,False
CDKN2A,False,True,False,False
CDKN3,False,True,False,False
CDON,False,False,False,True
CEBPA,False,True,False,False
CEBPB,False,True,False,False
CENPA,False,True,False,False
CHRD,True,False,False,False
CHRNA1,False,False,False,True
CHRND,False,False,False,True
CHRNG,False,False,False,True
CIDEA,False,False,True,False
CKM,False,False,False,True
CKMT2,False,False,False,True
COL1A1,True,False,False,False
COX6A2,False,False,False,True
CPEB1,False,True,False,False
CREB1,False,True,False,False
CREBBP,False,True,False,False
CSRP3,False,False,False,True
CTCF,False,True,False,False
CTNNB1,True,False,False,False
CXCR4,True,False,False,False
DACH1,True,False,False,False
DAG1,False,False,False,True
DCN,True,False,False,False
DDX17,False,True,False,False
DDX5,False,True,False,False
DES,False,False,False,True
DHX35,False,True,False,False
DICER1,False,True,False,False
DLK1,True,False,False,False
DLL1,True,False,False,False
DLX3,True,False,False,False
DMD,False,False,False,True
DMPK,False,False,False,True
DNMT1,False,True,False,False
DNMT3A,False,True,False,False
DNMT3B,False,True,False,False
DUX4,False,True,False,False
DYSF,False,False,False,True
E2F1,False,True,False,False
EBF2,False,False,True,False
EGF,True,False,False,False
EGR2,False,True,False,False
EHMT2,False,True,False,False
EID1,False,True,False,False
EID2,False,True,False,False
EIF3F,False,True,False,False
ELAVL1,False,True,False,False
ELSPBP1,False,True,False,False
EMD,False,False,False,True
ENO2,False,False,True,False
ENO3,False,False,False,True
ENSG00000255071,False,False,True,False
EP300,False,True,False,False
EPHA7,True,False,False,False
ESR1,False,True,False,False
ESR2,False,False,True,False
EWSR1,False,True,False,False
EXOC3L1,False,False,False,True
EYA1,True,False,False,False
EYA2,True,False,False,False
EYA3,True,False,False,False
EZH2,False,True,False,False
FABP4,False,False,True,False
FBXO32,False,False,True,False
FGF10,True,False,False,False
FGF13,True,False,False,False
FGF16,True,False,False,False
FGF17,True,False,False,False
FGF18,True,False,False,False
FGF2,True,False,False,False
FGF20,True,False,False,False
FGF22,True,False,False,False
FGF23,True,False,False,False
FGF3,True,False,False,False
FGF4,True,False,False,False
FGF5,True,False,False,False
FGF6,True,False,False,False
FGF7,True,False,False,False
FGF8,True,False,False,False
FGF9,True,False,False,False
FGFR4,True,False,False,False
FHL1,False,False,False,True
FIGLA,True,False,False,False
FN1,True,False,False,False
FNDC5,False,False,True,False
FOS,False,True,False,False
FOXA2,True,False,False,False
FOXD3,True,False,False,False
FOXN3,False,True,False,False
FOXO1,False,False,True,False
FOXO3,False,False,True,False
FOXO4,False,False,True,False
FRG1,False,False,False,True
FRG2,False,False,False,True
FST,True,False,False,False
FZR1,False,True,False,False
GAPDH,False,False,True,False
GATA1,False,True,False,False
GATA2,False,True,False,False
GATA4,True,False,False,False
GATA6,True,False,False,False
GDF11,True,False,False,False
GFAP,True,False,False,False
