source,target,weight
MYOD1,CD99,1
MYOD1,KDM1A,1
MYOD1,PDK4,1
MYOD1,CALCR,1
MYOD1,HOXA11,1
MYOD1,MEOX1,1
MYOD1,CREBBP,1
MYOD1,SOX8,1
MYOD1,IFRD1,1
MYOD1,MYH13,1
MYOD1,PAX6,1
MYOD1,NFIX,1
MYOD1,PAX7,1
MYOD1,MLXIPL,1
MYOD1,DCN,1
MYOD1,ISL1,1
MYOD1,IGF1,1
MYOD1,SNAI2,1
MYOD1,HGF,1
MYOD1,FHL1,1
MYOD1,TBPL1,1
MYOD1,ANK1,1
MYOD1,MUSK,1
MYOD1,VCL,1
MYOD1,CDH1,1
MYOD1,HDAC9,1
MYOD1,FOXN3,1
MYOD1,YIPF1,1
MYOD1,DLX3,1
MYOD1,CDON,1
MYOD1,EYA2,1
MYOD1,ELAVL1,1
MYOD1,SMARCD1,1
MYOD1,KDM4A,1
MYOD1,SPI1,1
MYOD1,RHOA,1
MYOD1,CBFB,1
MYOD1,HDAC4,1
MYOD1,MEF2A,1
MYOD1,TFE3,1
MYOD1,SIRT2,1
MYOD1,PITX1,1
MYOD1,RORA,1
MYOD1,FGF10,1
MYOD1,FGF22,1
MYOD1,TCF3,1
MYOD1,SREBF1,1
MYOD1,NOTCH3,1
MYOD1,FGF4,1
MYOD1,ACTB,1
MYOD1,PAX2,1
MYOD1,MBNL3,1
MYOD1,ACTN2,1
MYOD1,FGF20,1
MYOD1,MYH7B,1
MYOD1,CDH17,1
MYOD1,HSP90AA1,1
MYOD1,MEF2C,1
MYOD1,PTPRC,1
MYOD1,CACNA1S,1
MYOD1,SMARCD3,1
MYOD1,GSK3B,1
MYOD1,NCOA1,1
MYOD1,WNT11,1
MYOD1,HUWE1,1
MYOD1,MYBPC2,1
MYOD1,DNMT3B,1
MYOD1,TBX5,1
MYOD1,CHRD,1
MYOD1,ESR1,1
MYOD1,MYH7,1
MYOD1,CAPN3,1
MYOD1,SIRT1,1
MYOD1,MZF1,1
MYOD1,SMARCB1,1
MYOD1,SOX10,1
MYOD1,DDX17,1
MYOD1,EP300,1
MYOD1,PRMT5,1
MYOD1,CDKN3,1
MYOD1,SNW1,1
MYOD1,SIX4,1
MYOD1,HIF1A,1
MYOD1,SLC8A3,1
MYOD1,DICER1,1
MYOD1,YY1,1
MYOD1,PABPN1,1
MYOD1,HNF4A,1
MYOD1,BMP7,1
MYOD1,MYLK2,1
MYOD1,MYL9,1
MYOD1,E2F1,1
MYOD1,DHX35,1
MYOD1,TNNC2,1
MYOD1,SMAD7,1
MYOD1,SUV39H1,1
MYOD1,SYP,1
MYOD1,EMD,1
MYOD1,GATA1,1
MYOD1,CD99L2,1
MYOD1,VGLL1,1
MYOD1,FGF9,1
MYOD1,SGCG,1
MYOD1,MAPK3,1
MYOD1,NFAT5,1
MYOD1,CTCF,1
MYOD1,RBL2,1
MYOD1,EYA1,1
MYOD1,CKM,1
MYOD1,DMPK,1
MYOD1,TNNT1,1
MYOD1,CCNE1,1
MYOD1,NUMBL,1
MYOD1,FZR1,1
MYOD1,TGFB1,1
MYOD1,MEIS3,1
MYOD1,CAV1,1
MYOD1,MET,1
MYOD1,PAX4,1
MYOD1,EZH2,1
MYOD1,MEOX2,1
MYOD1,TGFBR1,1
MYOD1,CXCL12,1
MYOD1,MAPK8,1
MYOD1,MICU1,1
MYOD1,FGF8,1
MYOD1,PITX3,1
MYOD1,TFAM,1
MYOD1,RPS6KB1,1
MYOD1,CBX1,1
MYOD1,HOXB6,1
MYOD1,ENO3,1
MYOD1,SMARCD2,1
MYOD1,DDX5,1
MYOD1,KAT2A,1
MYOD1,COL1A1,1
MYOD1,SGCA,1
MYOD1,HDAC5,1
MYOD1,CACNG1,1
MYOD1,YWHAE,1
MYOD1,MYH1,1
MYOD1,MYH3,1
MYOD1,NFKB1,1
MYOD1,UCP1,1
MYOD1,IL2,1
MYOD1,FRG1,1
MYOD1,PPARGC1A,1
MYOD1,CCND1,1
MYOD1,SOX6,1
MYOD1,MYF6,1
MYOD1,MYF5,1
MYOD1,GLI1,1
MYOD1,FGF6,1
MYOD1,MYL2,1
MYOD1,IFNG,1
MYOD1,GAPDH,1
MYOD1,ENO2,1
MYOD1,NANOG,1
MYOD1,RIPOR2,1
MYOD1,PPARD,1
MYOD1,MAPK14,1
MYOD1,SRSF3,1
MYOD1,MDFI,1
MYOD1,TBP,1
MYOD1,SRF,1
MYOD1,SKP1,1
MYOD1,SMAD5,1
MYOD1,PDGFRB,1
MYOD1,KAT2B,1
MYOD1,WNT5A,1
MYOD1,ACVR2B,1
MYOD1,NCL,1
MYOD1,CENPA,1
MYOD1,FN1,1
MYOD1,STAT1,1
MYOD1,IGFBP2,1
MYOD1,IGFBP5,1
MYOD1,SMYD1,1
MYOD1,ID2,1
MYOD1,HDAC1,1
MYOD1,MEF2D,1
MYOD1,ID3,1
MYOD1,TNNT2,1
MYOD1,CREB1,1
