Threshold,TF network,TF gene_id,Nodes,Edges,Avg degree,Graph density,is_connected,n_conn_components,largest_conn_component
200,MYOD1,ENSG00000129152,1090,136721,250.86422018348622,0.23036200200503787,True,1,1090
200,PRRX1,ENSG00000116132,523,36823,140.81453154875717,0.26975963898229344,True,1,523
300,MYOD1,ENSG00000129152,545,29898,109.71743119266056,0.20168645439827307,True,1,545
300,PRRX1,ENSG00000116132,196,4055,41.37755102040816,0.2121925693354265,True,1,196
400,MYOD1,ENSG00000129152,313,8871,56.68370607028754,0.18167854509707546,True,1,313
400,PRRX1,ENSG00000116132,75,546,14.56,0.19675675675675675,True,1,75
500,MYOD1,ENSG00000129152,195,2950,30.256410256410255,0.15596087761036215,True,1,195
500,PRRX1,ENSG00000116132,45,184,8.177777777777777,0.18585858585858586,True,1,45
600,MYOD1,ENSG00000129152,113,881,15.5929203539823,0.13922250316055626,True,1,113
600,PRRX1,ENSG00000116132,17,30,3.5294117647058822,0.22058823529411764,True,1,17
700,MYOD1,ENSG00000129152,70,325,9.285714285714286,0.13457556935817805,True,1,70
700,PRRX1,ENSG00000116132,7,6,1.7142857142857142,0.2857142857142857,True,1,7
800,MYOD1,ENSG00000129152,47,160,6.808510638297872,0.14801110083256244,True,1,47
800,PRRX1,ENSG00000116132,5,4,1.6,0.4,True,1,5
900,MYOD1,ENSG00000129152,32,75,4.6875,0.15120967741935484,True,1,32
900,PRRX1,ENSG00000116132,3,2,1.3333333333333333,0.6666666666666666,True,1,3
999,MYOD1,ENSG00000129152,11,10,1.8181818181818181,0.18181818181818182,True,1,11
999,PRRX1,ENSG00000116132,3,2,1.3333333333333333,0.6666666666666666,True,1,3
