gene,G0_G1_transition,G1S_transition,DNA_replication_S_phase,G2M_transition,metaphase_anaphase_transition,checkpoint_spindle_assembly_checkpoint,all_checkpoint,general_cell_cycle_regulation,general_mitotic_cell_cycle_regulation,general_phase_transition
ACTL6A,False,False,False,False,False,False,False,True,False,False
ACTL6B,True,True,False,False,True,False,False,True,False,True
ACTR5,False,False,False,False,False,False,False,True,False,False
ACTR8,False,False,False,False,False,False,False,True,False,False
ACVR1,False,True,False,False,False,False,False,False,False,False
ACVR1B,False,False,False,False,False,False,False,False,False,True
ADAM17,False,True,False,False,False,False,False,False,False,False
ADAMTS1,False,True,False,False,False,False,False,False,False,True
ADARB1,False,False,False,False,False,False,False,True,False,False
AFAP1L2,False,False,False,False,False,False,False,True,False,False
AHCTF1,False,False,False,False,False,False,False,True,False,False
AICDA,False,False,False,False,False,False,False,True,False,False
AIF1,False,True,False,False,False,False,False,False,False,True
AKAP8,False,False,False,True,False,False,False,False,False,False
AKAP8L,False,False,False,True,False,False,False,False,False,False
AKT1,False,True,False,False,False,False,False,False,False,True
AKT2,False,False,False,False,False,False,False,True,False,False
ALOX15B,False,False,False,False,False,False,False,True,False,False
AMBRA1,False,True,False,False,False,False,False,False,False,True
ANAPC1,False,False,False,False,False,False,False,True,True,True
ANAPC10,False,False,False,False,False,False,False,True,True,False
ANAPC11,False,False,False,False,False,False,False,True,True,True
ANAPC13,False,False,False,False,False,False,False,True,True,False
ANAPC15,False,False,False,False,False,False,False,True,True,False
ANAPC16,False,False,False,False,False,False,False,True,True,False
ANAPC2,False,False,False,False,True,False,False,True,True,True
ANAPC4,False,False,False,False,False,False,False,True,True,False
ANAPC5,False,False,False,False,True,False,False,True,True,True
ANAPC7,False,False,False,False,True,False,False,True,True,True
ANGEL2,False,False,False,False,False,False,False,True,True,False
ANKK1,False,False,False,False,False,False,False,True,False,False
ANKRD17,False,True,False,False,False,False,False,True,False,True
ANLN,False,False,False,False,False,False,False,False,False,True
APBB1,False,True,False,False,False,False,False,False,False,False
APBB2,False,False,False,False,False,False,False,False,False,True
APP,False,False,False,False,False,False,False,True,True,False
APPL1,False,True,False,False,False,False,False,False,False,True
APPL2,False,True,False,False,False,False,False,False,False,True
ARID1A,True,True,False,False,True,False,False,True,False,True
ARID1B,True,True,False,False,True,False,False,True,False,True
ARID2,True,True,False,False,True,False,False,True,False,True
ARPP19,False,False,False,True,False,False,False,False,False,True
ARTN,False,False,False,True,False,True,True,True,False,False
ASAH2,False,False,False,False,False,False,False,True,True,False
ASNS,False,False,False,False,False,False,False,True,True,False
ATF5,False,False,False,True,False,False,False,True,False,True
ATM,False,False,False,True,False,False,True,True,False,False
ATP2B4,False,True,False,False,False,False,False,False,False,True
ATRX,False,False,True,False,False,False,False,True,False,False
ATXN10,False,False,False,False,False,False,False,True,False,False
AURKA,False,False,False,True,False,False,False,True,True,True
AURKAIP1,False,False,False,False,False,False,False,True,True,False
AURKB,False,False,False,True,False,True,True,True,False,False
AURKC,False,False,False,False,False,False,False,True,False,False
AVEN,False,False,False,True,False,False,False,False,False,True
BABAM1,False,False,False,True,False,True,True,False,False,False
BABAM2,False,False,False,True,False,True,True,False,False,False
BARD1,False,False,False,True,False,True,True,True,False,False
BAZ1B,False,False,False,False,False,False,False,True,False,False
BBS4,False,False,False,False,False,False,False,True,False,False
BCAT1,False,True,False,False,False,False,False,False,False,True
BCL2L1,False,False,False,False,False,False,False,True,False,False
BCL6,False,False,False,False,False,False,False,False,True,False
BCL7A,True,True,False,False,True,False,False,True,False,True
BCL7B,True,True,False,False,True,False,False,True,False,True
BCL7C,True,True,False,False,True,False,False,True,False,True
BECN1,False,False,False,False,False,False,False,True,False,False
BEX2,False,False,False,False,False,False,False,True,False,False
BIN1,False,False,False,False,False,False,False,True,False,False
BIRC2,False,False,False,False,False,False,False,True,False,False
BIRC3,False,False,False,False,False,False,False,True,False,False
BIRC5,False,False,False,True,False,True,True,True,True,True
BIRC6,False,False,False,False,False,False,False,True,False,False
BIRC7,False,False,False,False,False,False,False,True,False,False
BLM,False,False,False,True,False,False,True,False,False,False
BMAL1,False,False,False,False,False,False,False,True,False,False
BMP2,False,False,False,False,False,False,False,True,False,False
BMP4,False,False,False,False,False,False,False,True,True,False
BMP7,False,False,False,False,False,False,False,True,True,False
BOP1,False,False,False,False,False,False,False,True,False,False
BORA,False,False,False,False,False,False,False,True,True,False
BRCA1,False,False,False,True,False,True,True,True,False,False
BRCA2,False,False,False,False,False,True,True,False,False,False
BRCC3,False,False,False,True,False,True,True,False,False,False
BRD4,False,False,False,True,False,False,False,False,False,True
BRD7,True,True,False,False,True,False,False,True,True,True
BRD8,False,False,False,False,False,False,False,True,False,False
BRINP1,False,False,False,False,False,False,False,True,True,False
BRINP2,False,False,False,False,False,False,False,True,True,False
BRINP3,False,False,False,False,False,False,False,True,True,False
BRSK1,False,False,False,True,False,False,True,False,False,True
BRSK2,False,False,False,True,False,False,False,False,False,True
BTC,False,False,False,False,False,False,False,True,False,False
BTG3,False,False,False,False,False,False,False,True,True,False
BTG4,False,False,False,False,False,False,False,True,False,False
BUB1,False,False,False,False,False,False,False,True,False,False
C6ORF89,False,False,False,False,False,False,False,True,False,False
CACUL1,False,True,False,False,False,False,False,False,False,True
CALM1,False,False,False,False,False,False,False,True,False,False
CALM2,False,False,False,False,False,False,False,True,False,False
CALM3,False,False,False,False,False,False,False,True,False,False
