group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_high_G1S,MYOD1_exo,47.505005,35.08571,0.0,0.0,1.0,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,MYOD1_endo,47.505005,34.325275,0.0,0.0,1.0,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,MT-ND4,47.501183,2.9783373,0.0,0.0,1.0,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,MYOD1,46.688595,32.032375,0.0,0.0,0.9828141783029001,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,LINC-PINT,38.898235,2.6237776,0.0,0.0,0.9634801288936627,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,NAV3,38.865543,3.367406,0.0,0.0,0.9291084854994629,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,IFIT1,38.18277,1.8615249,0.0,0.0,0.9849624060150376,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,KCNQ5,38.130157,3.4486063,0.0,0.0,0.9291084854994629,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,IFIT3,38.104774,1.9054384,0.0,0.0,0.9881847475832438,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,ISG15,37.941364,1.3383443,0.0,0.0,0.9978517722878625,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,ISG20,37.059982,3.4101245,1.2403342763626105e-300,4.4524456709199535e-298,0.924812030075188,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,RSAD2,36.198605,3.2346838,6.403449903234809e-287,2.0367834071960037e-284,0.9065520945220193,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,IFIT2,34.923546,2.709412,3.265501918802952e-267,8.919079588660932e-265,0.9785177228786252,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,MT-ND5,34.648067,1.0318695,4.7762800318268345e-263,1.2767911131887733e-260,0.9978517722878625,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,RIGI,34.31778,1.9113863,4.26146686067761e-258,1.103939580155742e-255,0.9699248120300752,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,NFAT5,33.398613,2.6390185,1.4359850486679334e-244,3.4695607983584454e-242,0.874328678839957,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,OASL,33.325172,4.0707245,1.668018405219484e-243,3.991806332033828e-241,0.8109559613319012,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,DDX60L,32.755066,2.08076,2.571529250673319e-235,5.618903218340797e-233,0.920515574650913,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,SMURF2,32.527428,3.2188869,4.367151146151516e-232,9.069237520702092e-230,0.7969924812030075,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,GMNN,30.881842,2.5887933,2.0943329446481102e-209,3.898251720971683e-207,0.841031149301826,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,ZBTB20-AS1,30.649246,9.41306,2.7045800697885934e-206,4.889258129039408e-204,0.6466165413533834,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,ZNFX1,30.435085,1.9539876,1.887207043821063e-203,3.339559056136315e-201,0.9022556390977443,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,DCBLD2,30.41929,2.7280474,3.053207095604279e-203,5.365104048835267e-201,0.790547798066595,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,TAF1D,30.39664,2.0770128,6.084206736555925e-203,1.061694075529009e-200,0.9430719656283566,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,PDE4B,30.093023,2.1339679,5.978920766854065e-199,1.0220293947585643e-196,0.8915145005370569,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,OAS1,29.64943,1.8243502,3.4495355875650507e-193,5.778662016288973e-191,0.8796992481203008,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,SEMA3A,29.515255,3.5659237,1.834486338895989e-191,3.0128740342338835e-189,0.7099892588614393,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,XAF1,29.270977,1.1709465,2.4288214877826396e-188,3.9375113770969145e-186,0.9720730397422127,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,PMAIP1,28.669348,3.6368406,9.20082300446057e-181,1.4360141643235107e-178,0.7540279269602578,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,PHACTR4,28.361633,1.7709917,6.015792809835642e-177,9.217368397899392e-175,0.8796992481203008,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,MED13L,28.33037,2.2960303,1.4609617328656732e-176,2.2249119044514324e-174,0.80343716433942,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,TRIO,27.983896,1.6169391,2.5515965570479562e-172,3.793876821627281e-170,0.9441460794844253,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,STARD13,27.933834,2.9831436,1.0362680236350918e-171,1.5317260528177993e-169,0.719656283566058,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,ABL2,27.861198,2.821915,7.881959645092903e-171,1.138263689436175e-168,0.7583243823845328,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,TXNIP,27.831366,2.2590082,1.8108159722580506e-170,2.600124785765731e-168,0.8539205155746509,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,HMGA2,27.77714,2.0154085,8.194342751249759e-170,1.1699286628034314e-167,0.8560687432867884,Control_G1S,up
siPRRX1/mmMYOD1_high_G1S,FNDC3A,27.546352,2.205921,4.8938536278850634e-167,6.831819664527548e-165,0.8378088077336198,Control_G1S,up
