group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
mmMYOD1_high_G1S,MYOD1_exo,41.296528,36.265495,0.0,0.0,1.0,Control_G1S,up
mmMYOD1_high_G1S,MYOD1_endo,41.296528,35.380703,0.0,0.0,1.0,Control_G1S,up
mmMYOD1_high_G1S,MYOD1,41.17233,33.265804,0.0,0.0,0.9969924812030075,Control_G1S,up
mmMYOD1_high_G1S,MT-ND4,41.169952,3.1803198,0.0,0.0,0.9984962406015038,Control_G1S,up
mmMYOD1_high_G1S,LINC-PINT,36.189045,3.0985491,9.053250305120909e-287,3.296957589377945e-284,0.9624060150375939,Control_G1S,up
mmMYOD1_high_G1S,TAF1D,35.22583,2.9002557,8.046563923222909e-272,2.4360729911174128e-269,0.9578947368421052,Control_G1S,up
mmMYOD1_high_G1S,KCNQ5,34.219624,3.6564667,1.234881837673349e-256,3.2323032101099914e-254,0.9383458646616541,Control_G1S,up
mmMYOD1_high_G1S,NAV3,33.093006,3.6095498,3.7468496583756204e-240,8.40632484068416e-238,0.8902255639097745,Control_G1S,up
mmMYOD1_high_G1S,JMJD1C,31.31766,2.6556966,2.682941530128669e-215,4.8852865774690726e-213,0.9037593984962407,Control_G1S,up
mmMYOD1_high_G1S,PPP1R15A,31.142475,3.4783318,6.413308666921962e-213,1.1593785624634177e-210,0.8887218045112782,Control_G1S,up
mmMYOD1_high_G1S,TXNIP,30.779232,2.8847773,4.9701772812048125e-208,8.554151693295516e-206,0.9082706766917293,Control_G1S,up
mmMYOD1_high_G1S,GADD45A,30.761957,3.7189913,8.461840791251931e-208,1.4464567034189015e-205,0.8721804511278195,Control_G1S,up
mmMYOD1_high_G1S,TNFRSF12A,30.44886,1.5896966,1.24024615240066e-203,2.0639010144055487e-201,0.9834586466165414,Control_G1S,up
mmMYOD1_high_G1S,RSRC2,29.857327,2.4638114,7.052363934271295e-196,1.1287375856074466e-193,0.9383458646616541,Control_G1S,up
mmMYOD1_high_G1S,PMAIP1,29.707,4.06989,6.235486241836151e-194,9.732006104649615e-192,0.8075187969924812,Control_G1S,up
mmMYOD1_high_G1S,RUNX1,29.63141,3.250348,5.88802719222185e-193,9.021606541838454e-191,0.8481203007518797,Control_G1S,up
mmMYOD1_high_G1S,NFAT5,29.505754,2.841659,2.4290104451446478e-191,3.633105622952066e-189,0.8481203007518797,Control_G1S,up
mmMYOD1_high_G1S,ESR1,29.492357,9.050755,3.607762355804469e-191,5.364251625837556e-189,0.7157894736842105,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000274213,29.085478,5.301188,5.48001495645947e-186,7.913897461259399e-184,0.7413533834586467,Control_G1S,up
mmMYOD1_high_G1S,MT-ND5,29.078669,1.0838962,6.681531937911075e-186,9.593916259190257e-184,0.9954887218045113,Control_G1S,up
mmMYOD1_high_G1S,TRIO,28.933916,2.173068,4.472215069072214e-184,6.313360688519471e-182,0.9263157894736842,Control_G1S,up
mmMYOD1_high_G1S,ADAMTS6,28.795023,2.369806,2.4759165881420902e-182,3.437283537394168e-180,0.9187969924812031,Control_G1S,up
