group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,abs_lfc,gene_type,is_tf,direction,reference,DE_rank
mmMYOD1,MYOD1,66.87571,31.988237,0.0,0.0,0.9365853658536586,31.988237,protein_coding,True,up,Control,1
mmMYOD1,ESR1,37.680325,8.187259,0.0,0.0,0.5303769401330377,8.187259,protein_coding,True,up,Control,2
mmMYOD1,DPF3,35.84724,4.413079,2.030408316955988e-281,1.861899247147305e-279,0.5485587583148559,4.413079,protein_coding,True,up,Control,3
mmMYOD1,ZSCAN30,35.74855,3.8409526,6.96820223787153e-280,6.343588747418842e-278,0.5503325942350332,3.8409526,protein_coding,True,up,Control,4
mmMYOD1,ATF3,31.274353,3.640383,1.0418895227567608e-214,6.577516620298083e-213,0.5392461197339247,3.640383,protein_coding,True,up,Control,5
mmMYOD1,BATF2,27.024254,3.38121,7.668854266682327e-161,3.282583173844296e-159,0.43946784922394677,3.38121,protein_coding,True,up,Control,6
mmMYOD1,AEBP1,-58.191814,-3.309051,0.0,0.0,0.2745011086474501,3.309051,protein_coding,True,down,Control,7
mmMYOD1,CREB5,18.021196,3.2132862,1.328373912620452e-72,2.476018021402187e-71,0.3121951219512195,3.2132862,protein_coding,True,up,Control,8
mmMYOD1,IKZF2,18.964855,3.1964114,3.3293952878331443e-80,6.784621735774176e-79,0.3139689578713969,3.1964114,protein_coding,True,up,Control,9
mmMYOD1,ZNF462,25.079975,3.0626671,8.226047161032524e-139,2.9998209139057066e-137,0.42838137472283816,3.0626671,protein_coding,True,up,Control,10
mmMYOD1,ZNF133,14.919059,2.8368943,2.47744772321766e-50,3.2814101999771706e-49,0.2572062084257206,2.8368943,protein_coding,True,up,Control,11
mmMYOD1,ZNF438,20.283632,2.7204726,1.793860247320506e-91,4.1579827097947455e-90,0.36851441241685146,2.7204726,protein_coding,True,up,Control,12
mmMYOD1,ZNF267,18.916584,2.6738145,8.328114559916504e-80,1.6902439938001782e-78,0.3370288248337029,2.6738145,protein_coding,True,up,Control,13
mmMYOD1,RELB,16.390387,2.658953,2.2401802452570323e-60,3.491735039846662e-59,0.2984478935698448,2.658953,protein_coding,True,up,Control,14
mmMYOD1,DDIT3,29.579304,2.6436813,2.7586259781591934e-192,1.4842234759577708e-190,0.6212860310421287,2.6436813,protein_coding,True,up,Control,15
mmMYOD1,NFAT5,49.20719,2.5408628,0.0,0.0,0.8554323725055433,2.5408628,protein_coding,True,up,Control,16
mmMYOD1,POU2F2,29.432528,2.4721463,2.1070327495024165e-190,1.1264107417871853e-188,0.5485587583148559,2.4721463,protein_coding,True,up,Control,17
mmMYOD1,ZNF587,18.821617,2.413616,5.02279851275464e-79,1.0072053905145498e-77,0.34767184035476717,2.413616,protein_coding,True,up,Control,18
mmMYOD1,MAFF,19.795986,2.3364322,3.223821112325677e-87,7.149314145480578e-86,0.39157427937915745,2.3364322,protein_coding,True,up,Control,19
mmMYOD1,NFKB1,27.665794,2.3299868,1.801996038099825e-168,8.202346458930472e-167,0.5441241685144124,2.3299868,protein_coding,True,up,Control,20
mmMYOD1,HIVEP2,22.924297,2.312243,2.659853034462523e-116,7.834873076659479e-115,0.4523281596452328,2.312243,protein_coding,True,up,Control,21
mmMYOD1,ZNF675,13.266983,2.2977004,3.597772283443014e-40,4.048259130935476e-39,0.2545454545454545,2.2977004,protein_coding,True,up,Control,22
mmMYOD1,NR1D1,12.811475,2.2897284,1.4142147520903485e-37,1.5191774203087688e-36,0.27627494456762747,2.2897284,protein_coding,True,up,Control,23
mmMYOD1,RUNX1,38.038277,2.288175,0.0,0.0,0.7733924611973393,2.288175,protein_coding,True,up,Control,24
mmMYOD1,ZNF562,17.856209,2.2828774,2.586235952296577e-71,4.7225119576601595e-70,0.3436807095343681,2.2828774,protein_coding,True,up,Control,25
mmMYOD1,ZNF398,12.990663,2.2762,1.382249075636966e-38,1.5159489425776694e-37,0.2523281596452328,2.2762,protein_coding,True,up,Control,26
mmMYOD1,ZBTB43,14.898019,2.239833,3.394968868474343e-50,4.482500672059188e-49,0.29800443458980047,2.239833,protein_coding,True,up,Control,27
mmMYOD1,ZNF44,15.944888,2.2087111,3.0919389436525244e-57,4.599648188171305e-56,0.31751662971175165,2.2087111,protein_coding,True,up,Control,28
mmMYOD1,HIVEP3,16.111506,2.207106,2.1180250013430248e-58,3.2039431778293103e-57,0.317960088691796,2.207106,protein_coding,True,up,Control,29
mmMYOD1,IRF1,46.4697,2.1974814,0.0,0.0,0.916629711751663,2.1974814,protein_coding,True,up,Control,30
mmMYOD1,ZNF625,14.193249,2.1832101,1.0087452472336194e-45,1.2504061707938787e-44,0.28292682926829266,2.1832101,protein_coding,True,up,Control,31
mmMYOD1,NR6A1,14.909975,2.1515968,2.838603454154541e-50,3.755805707692838e-49,0.30110864745011084,2.1515968,protein_coding,True,up,Control,32
mmMYOD1,ZNF654,20.592245,2.1402354,3.220956547021348e-94,7.685636676206873e-93,0.4066518847006652,2.1402354,protein_coding,True,up,Control,33
mmMYOD1,ETV7,15.590411,2.134977,8.458748344095815e-55,1.2027985902306252e-53,0.3121951219512195,2.134977,protein_coding,True,up,Control,34
mmMYOD1,ZNF75A,18.928589,2.1251507,6.631419854186842e-80,1.3469770028803442e-78,0.376940133037694,2.1251507,protein_coding,True,up,Control,35
mmMYOD1,ETS2,17.419666,2.0997539,5.8518239654757494e-68,1.0231936601012087e-66,0.3764966740576497,2.0997539,protein_coding,True,up,Control,36
mmMYOD1,MSANTD3,28.993637,2.0207431,7.914667915931469e-185,3.993251928829198e-183,0.614190687361419,2.0207431,protein_coding,True,up,Control,37
mmMYOD1,NFKB2,13.567077,2.0015767,6.277628700385054e-42,7.255367926673177e-41,0.29800443458980047,2.0015767,protein_coding,True,up,Control,38
mmMYOD1,MYC,19.86979,1.9647214,7.43145178042436e-88,1.6627128890021594e-86,0.45764966740576496,1.9647214,protein_coding,True,up,Control,39
mmMYOD1,ZNF107,13.015803,1.905327,9.949013155790005e-39,1.0925651422743868e-37,0.2780487804878049,1.905327,protein_coding,True,up,Control,40
mmMYOD1,MEIS1,19.247667,1.8523153,1.476631879641324e-82,3.1047575404073567e-81,0.42261640798226163,1.8523153,protein_coding,True,up,Control,41
mmMYOD1,AKAP8L,18.73552,1.8494891,2.5415232480596136e-78,5.056081799742348e-77,0.4031042128603104,1.8494891,protein_coding,True,up,Control,42
mmMYOD1,TET2,13.796188,1.8435926,2.686870984108255e-43,3.1784519937242944e-42,0.30509977827051,1.8435926,protein_coding,True,up,Control,43
mmMYOD1,MTF2,21.599907,1.8153552,1.7997813641714264e-103,4.730262192068123e-102,0.46696230598669625,1.8153552,protein_coding,True,up,Control,44
mmMYOD1,SETDB2,14.766318,1.7770612,2.4155180226632968e-49,3.139798543064563e-48,0.3343680709534368,1.7770612,protein_coding,True,up,Control,45
mmMYOD1,MGA,14.645285,1.775986,1.4439554305039486e-48,1.8557966315520314e-47,0.32993348115299337,1.775986,protein_coding,True,up,Control,46
mmMYOD1,NFATC3,15.053259,1.7428766,3.2863659812081505e-51,4.403905687671253e-50,0.33791574279379155,1.7428766,protein_coding,True,up,Control,47
mmMYOD1,FOXN2,19.529957,1.7271084,6.109182125459923e-85,1.3255553547867534e-83,0.43946784922394677,1.7271084,protein_coding,True,up,Control,48
mmMYOD1,NCOA1,18.14864,1.7258942,1.3161869832794776e-73,2.492126159900539e-72,0.41818181818181815,1.7258942,protein_coding,True,up,Control,49
mmMYOD1,ZNF804A,11.254993,1.7170413,2.1884154892900107e-29,1.9821963800973614e-28,0.27184035476718404,1.7170413,protein_coding,True,up,Control,50
mmMYOD1,FOSL1,34.21879,1.7064695,1.2708076871313587e-256,1.050339274567846e-254,0.7680709534368071,1.7064695,protein_coding,True,up,Control,51
mmMYOD1,HMGA2,38.60302,1.6976599,0.0,0.0,0.8634146341463415,1.6976599,protein_coding,True,up,Control,52
mmMYOD1,ZNF609,24.606445,1.6930524,1.0776424771416258e-133,3.750255523637187e-132,0.5592017738359202,1.6930524,protein_coding,True,up,Control,53
mmMYOD1,RFX7,20.801222,1.6557708,4.219290505581741e-96,1.0252794317528707e-94,0.4904656319290466,1.6557708,protein_coding,True,up,Control,54
mmMYOD1,TRPS1,22.979874,1.6520458,7.410211791252202e-117,2.203419899017785e-115,0.5631929046563193,1.6520458,protein_coding,True,up,Control,55
mmMYOD1,DMTF1,16.32981,1.6498593,6.057343686450496e-60,9.377499535782818e-59,0.38181818181818183,1.6498593,protein_coding,True,up,Control,56
mmMYOD1,NFIX,-32.88729,-1.6458209,3.339904894210311e-237,2.4609516238102134e-235,0.33303769401330374,1.6458209,protein_coding,True,down,Control,57
mmMYOD1,PRDM1,13.63542,1.6418543,2.4656636612297295e-42,2.8681604237063975e-41,0.34279379157427936,1.6418543,protein_coding,True,up,Control,58
mmMYOD1,FOXO3,21.572031,1.6236813,3.289262402916934e-103,8.617936093398423e-102,0.517960088691796,1.6236813,protein_coding,True,up,Control,59
